tempo,vazao
287,	1.60176
288,	1.5904
289,	1.5904
290,	1.18816
291,	1.6472
292,	1.54496
293,	1.5904
294,	1.56768
295,	1.52224
296,	1.60176
297,	1.56768
298,	1.61312
299,	1.60176
300,	1.5336
301,	1.60176
302,	1.55632
303,	1.60176
304,	1.54496
305,	1.60176
306,	1.57904
307,	1.60176
308,	1.65856
309,	1.68128
310,	1.71536
311,	1.5904
312,	1.5904
313,	1.6472
314,	1.69264
315,	1.62448
316,	1.66992
317,	1.5904
318,	1.52224
319,	1.65856
320,	1.70114
321,	1.66992
322,	1.72672
323,	1.68128
324,	1.79041
325,	1.66992
326,	1.68128
327,	1.72672
328,	1.68128
329,	1.80624
330,	1.7608
331,	1.79488
332,	1.66992
333,	1.71536
334,	1.85168
335,	1.62448
336,	1.5904
337,	1.55632
338,	1.60176
339,	1.56768
340,	1.5904
341,	1.61312
342,	1.65856
343,	1.5904
344,	1.69264
345,	1.54496
346,	1.44272
347,	1.4768
348,	1.52224
349,	1.57904
350,	1.61312
351,	1.65856
352,	1.65856
353,	1.5904
354,	1.5904
355,	1.5904
356,	1.6472
357,	1.63584
358,	1.57904
359,	1.48816
